roi;accuracy;category
7_ACC;0.38785248066809525;social
9_V1;0.3759091268642763;control
1_LTL;0.4586391321856438;semantic
3_Prec;0.39697188424347885;semantic
8_PCC;0.39192677247079244;social
2_IFG;0.4261541914158193;semantic
6_Ins;0.41864977492053906;social
5_aPFC;0.3827557432416236;intersection
4_ATL;0.4480398731021654;intersection
7_ACC;0.3632680926493219;social
9_V1;0.3391988225875269;control
1_LTL;0.3709228317824663;semantic
3_Prec;0.3697343031645357;semantic
8_PCC;0.3933116164013174;social
2_IFG;0.3926984007133509;semantic
6_Ins;0.40433161107994997;social
5_aPFC;0.3589044215290062;intersection
4_ATL;0.36286308744780504;intersection
7_ACC;0.5060156920414395;social
9_V1;0.4063475284405517;control
1_LTL;0.5313182249644044;semantic
3_Prec;0.5556062523670497;semantic
8_PCC;0.3960735139721851;social
2_IFG;0.4491879521364572;semantic
6_Ins;0.4170601662088373;social
5_aPFC;0.5227196022877085;intersection
4_ATL;0.4096863269620745;intersection
7_ACC;0.45296498444338984;social
9_V1;0.42291597752561205;control
1_LTL;0.5345966187743596;semantic
3_Prec;0.4470453826350836;semantic
8_PCC;0.39920619939307644;social
2_IFG;0.46098113311568467;semantic
6_Ins;0.436120189795439;social
5_aPFC;0.44490697794269224;intersection
4_ATL;0.39101183285153385;intersection
7_ACC;0.42192643089653054;social
9_V1;0.38194375530338986;control
1_LTL;0.47560416696629315;semantic
3_Prec;0.4309952575110383;semantic
8_PCC;0.40088818296874773;social
2_IFG;0.40543606448922065;semantic
6_Ins;0.39416069810588084;social
5_aPFC;0.41941241436673327;intersection
4_ATL;0.4014710464876578;intersection
7_ACC;0.4326793684351824;social
9_V1;0.35665560445460776;control
1_LTL;0.42852816249826214;semantic
3_Prec;0.44524639489340484;semantic
8_PCC;0.389953462004957;social
2_IFG;0.3938954087625184;semantic
6_Ins;0.3789162088373052;social
5_aPFC;0.3577178404836212;intersection
4_ATL;0.3322756516278111;intersection
7_ACC;0.48941083833110416;social
9_V1;0.3443485339872383;control
1_LTL;0.5117527913208976;semantic
3_Prec;0.45819937030485197;semantic
8_PCC;0.4421435223137882;social
2_IFG;0.4662653768343137;semantic
6_Ins;0.4269011903563399;social
5_aPFC;0.4160829042681202;intersection
4_ATL;0.3978170708029512;intersection
7_ACC;0.4369625299027292;social
9_V1;0.39701416154904523;control
1_LTL;0.5398005625788018;semantic
3_Prec;0.48431688743150536;semantic
8_PCC;0.42685244111739123;social
2_IFG;0.4478046962266231;semantic
6_Ins;0.4284201471286189;social
5_aPFC;0.47589860997253014;intersection
4_ATL;0.41584350265828673;intersection
7_ACC;0.4489307227471679;social
9_V1;0.39539638794206905;control
1_LTL;0.5522560081114898;semantic
3_Prec;0.4738663030398911;semantic
8_PCC;0.38212991327609275;social
2_IFG;0.4635895619699606;semantic
6_Ins;0.4403884298610212;social
5_aPFC;0.45788485232006826;intersection
4_ATL;0.4296428631353881;intersection
7_ACC;0.4875465619651666;social
9_V1;0.3201603421495448;control
1_LTL;0.4873778722200649;semantic
3_Prec;0.4534355479330562;semantic
8_PCC;0.41015991667985024;social
2_IFG;0.4923031034119074;semantic
6_Ins;0.4081048980550641;social
5_aPFC;0.4919887052777418;intersection
4_ATL;0.4200286263201546;intersection
7_ACC;0.5257514633760481;social
9_V1;0.4003798964970061;control
1_LTL;0.5505626986523997;semantic
3_Prec;0.4779087745034588;semantic
8_PCC;0.43472099375338585;social
2_IFG;0.522602208607192;semantic
6_Ins;0.49983811177748055;social
5_aPFC;0.5083707267262085;intersection
4_ATL;0.437626831916699;intersection
7_ACC;0.38148188098354213;social
9_V1;0.3094351500290039;control
1_LTL;0.3886613225276016;semantic
3_Prec;0.4108672750284046;semantic
8_PCC;0.40464040619771513;social
2_IFG;0.41408547386537414;semantic
6_Ins;0.4144998873404189;social
5_aPFC;0.38438091762427307;intersection
4_ATL;0.3632086467426999;intersection
7_ACC;0.3628153869017656;social
9_V1;0.3560019391830023;control
1_LTL;0.4419717164526134;semantic
3_Prec;0.4100262832405689;semantic
8_PCC;0.3788040885839889;social
2_IFG;0.3948237117257051;semantic
6_Ins;0.3728497001337533;social
5_aPFC;0.3181156606405776;intersection
4_ATL;0.3439565925031041;intersection
7_ACC;0.3721970236297479;social
9_V1;0.33393363511718993;control
1_LTL;0.3811574753227577;semantic
3_Prec;0.3627410495558336;semantic
8_PCC;0.37362537333467566;social
2_IFG;0.320453316985709;semantic
6_Ins;0.3500574384087673;social
5_aPFC;0.35860380621593246;intersection
4_ATL;0.34872913400737315;intersection
7_ACC;0.38593930524993647;social
9_V1;0.33274981063602327;control
1_LTL;0.4148409522371317;semantic
3_Prec;0.40126715062346296;semantic
8_PCC;0.39109090429688437;social
2_IFG;0.3766289496771224;semantic
6_Ins;0.3664671153873812;social
5_aPFC;0.40218916142919464;intersection
4_ATL;0.357677540713255;intersection
7_ACC;0.37529689994390997;social
9_V1;0.37869577358780016;control
1_LTL;0.44653982276490584;semantic
3_Prec;0.42245539159990986;semantic
8_PCC;0.35349936838724216;social
2_IFG;0.42204990699592027;semantic
6_Ins;0.3985701221996903;social
5_aPFC;0.3994705598941479;intersection
4_ATL;0.3850055790462767;intersection
7_ACC;0.37010509101455946;social
9_V1;0.33227001864875616;control
1_LTL;0.33115843412770324;semantic
3_Prec;0.3600853995579909;semantic
8_PCC;0.36951392784033976;social
2_IFG;0.35803706260516893;semantic
6_Ins;0.3399300012464464;social
5_aPFC;0.3463906986332235;intersection
4_ATL;0.3648508399131323;intersection
7_ACC;0.44956152651335374;social
9_V1;0.3396229139999904;control
1_LTL;0.4248758347595557;semantic
3_Prec;0.41957993556830764;semantic
8_PCC;0.4130246460811245;social
2_IFG;0.47110572382582344;semantic
6_Ins;0.4076548589837627;social
5_aPFC;0.41035194733284425;intersection
4_ATL;0.4092729921425935;intersection
7_ACC;0.40026984366685364;social
9_V1;0.3826289412875791;control
1_LTL;0.42081238943780475;semantic
3_Prec;0.4007710889147766;semantic
8_PCC;0.3977759320782577;social
2_IFG;0.4016359909009411;semantic
6_Ins;0.4127222629714324;social
5_aPFC;0.3425774115142886;intersection
4_ATL;0.3467555838403015;intersection
7_ACC;0.41527852684414146;social
9_V1;0.35003448701538403;control
1_LTL;0.45711277463769157;semantic
3_Prec;0.4623411080429354;semantic
8_PCC;0.4102217895614905;social
2_IFG;0.4378406154568945;semantic
6_Ins;0.39797338597172477;social
5_aPFC;0.41577986198002814;intersection
4_ATL;0.43718287526427063;intersection
7_ACC;0.39102471679298917;social
9_V1;0.3937605168917461;control
1_LTL;0.47522885475543286;semantic
3_Prec;0.40200593979663746;semantic
8_PCC;0.39709640903577775;social
2_IFG;0.4348766797064139;semantic
6_Ins;0.40024039037743353;social
5_aPFC;0.43279894938948094;intersection
4_ATL;0.39983631401820774;intersection
7_ACC;0.41046373799696056;social
9_V1;0.3888792109514701;control
1_LTL;0.43049395233780624;semantic
3_Prec;0.41857450873231605;semantic
8_PCC;0.39842935764862675;social
2_IFG;0.4050259057111216;semantic
6_Ins;0.417775045183683;social
5_aPFC;0.38418735887589706;intersection
4_ATL;0.40278859429606934;intersection
7_ACC;0.44719019214451106;social
9_V1;0.3997944861524596;control
1_LTL;0.4833317752752969;semantic
3_Prec;0.4593508950444167;semantic
8_PCC;0.40037794892446055;social
2_IFG;0.44588247208679094;semantic
6_Ins;0.4257583847492485;social
5_aPFC;0.42262725738639356;intersection
4_ATL;0.3689578509345951;intersection
7_ACC;0.44607405329996697;social
9_V1;0.40220842741606866;control
1_LTL;0.46313065395291303;semantic
3_Prec;0.40807793166597156;semantic
8_PCC;0.4005160767619239;social
2_IFG;0.4316707655578088;semantic
6_Ins;0.4231764728442469;social
5_aPFC;0.3816807131591185;intersection
4_ATL;0.4019173402271409;intersection
7_ACC;0.5222215930064767;social
9_V1;0.397080708604795;control
1_LTL;0.636120309646057;semantic
3_Prec;0.534923271634235;semantic
8_PCC;0.47293371541710416;social
2_IFG;0.5431559304482894;semantic
6_Ins;0.4767711224729497;social
5_aPFC;0.564049278978681;intersection
4_ATL;0.5045528852837824;intersection
7_ACC;0.40913057964552985;social
9_V1;0.3918657685061339;control
1_LTL;0.4378126902628564;semantic
3_Prec;0.45091377107573116;semantic
8_PCC;0.4004751777384668;social
2_IFG;0.44476902988115613;semantic
6_Ins;0.40701590537553994;social
5_aPFC;0.41908126710867577;intersection
4_ATL;0.3841141301481833;intersection
7_ACC;0.5463488408048208;social
9_V1;0.3601119764325744;control
1_LTL;0.5710318958450188;semantic
3_Prec;0.5381103692357845;semantic
8_PCC;0.5005557772791992;social
2_IFG;0.5424323023783156;semantic
6_Ins;0.4717077035183348;social
5_aPFC;0.48814773266600503;intersection
4_ATL;0.37916561797375753;intersection
7_ACC;0.3879356869597734;social
9_V1;0.3986032908582743;control
1_LTL;0.47370884929024465;semantic
3_Prec;0.4484837099039757;semantic
8_PCC;0.37284993983498965;social
2_IFG;0.48790914004784436;semantic
6_Ins;0.4306775035595633;social
5_aPFC;0.3878233869305298;intersection
4_ATL;0.39569592459957914;intersection
7_ACC;0.4023565927428054;social
9_V1;0.35969810228531157;control
1_LTL;0.4673792385171122;semantic
3_Prec;0.41088354474982386;semantic
8_PCC;0.370694935831979;social
2_IFG;0.43187568015225825;semantic
6_Ins;0.43415380070280407;social
5_aPFC;0.4133807821930746;intersection
4_ATL;0.31744680430311656;intersection
7_ACC;0.40327608668555515;social
9_V1;0.3745593392395718;control
1_LTL;0.38901775826609714;semantic
3_Prec;0.37962497543062323;semantic
8_PCC;0.3954453469195994;social
2_IFG;0.3851256394030481;semantic
6_Ins;0.38581382165269207;social
5_aPFC;0.34610335677611426;intersection
4_ATL;0.39009584453936613;intersection