a_meanSEM;a_meanSOC;l_meanSEM;l_meanSOC
0,586070228;0,540899418;0,584451849;0,569853582
0,618832325;0,592729054;0,5603086;0,562315914
0,583193884;0,580212254;0,649376597;0,601094248
0,639539091;0,632073813;0,535626576;0,542072174
0,555680444;0,568871528;0,58410442;0,588334765
0,568156922;0,57874944;0,642366815;0,570309389
0,605964382;0,611187276;0,577944025;0,585011367
0,597516801;0,600720766;0,62255814;0,567731668
0,600900538;0,588000112;0,621352507;0,564485534
0,575715166;0,560131608;0,653893701;0,616905926
0,557856183;0,563248768;0,651349686;0,640212233
0,610549395;0,612670811;0,547054937;0,539582089
0,638630712;0,59796875;0,509561056;0,503897953
0,636260641;0,611272402;0,579300557;0,567301789
0,616476255;0,593897289;0,501948199;0,517402595
0,646434252;0,656475695;0,593936679;0,583856552
0,570743167;0,580243616;0,522492699;0,524695506
0,586891801;0,575351703;0,543997557;0,549522206
0,583456541;0,590731967;0,571661253;0,5363484
0,617540323;0,593018593;0,576552233;0,564278114
0,575835573;0,593237007;0,666476877;0,635889586
0,601456093;0,597893705;0,580838063;0,586118993
0,610196573;0,595583557;0,589346977;0,567440242
0,550733647;0,571078069;0,613678461;0,611910199
0,629952957;0,58452789;0,608994902;0,598384815
0,622455197;0,605742607;0,588505887;0,568565499
0,61358927;0,584040099;0,603587963;0,588034523
0,587138217;0,587119176;0,543806211;0,548274053
0,592150538;0,590835573;0,695288647;0,653046388
0,590322581;0,582427756;0,622234564;0,576963963