ID;class;accuracy
sub-016;likableness_ch;9,0815289
sub-008;likableness_ch;6,8293054
sub-009;likableness_ch;13,2959477
sub-010;likableness_ch;18,3234414
sub-011;likableness_ch;21,2021289
sub-012;likableness_ch;11,0660615
sub-013;likableness_ch;6,8243718
sub-014;likableness_ch;4,0324875
sub-015;likableness_ch;6,6161192
sub-030;likableness_co;2,1331451
sub-017;likableness_ch;4,6602505
sub-018;likableness_ch;18,971968
sub-019;likableness_ch;11,2405898
sub-020;likableness_ch;4,8838773
sub-021;likableness_ch;3,2816641
sub-022;likableness_ch;20,1137942
sub-007;likableness_ch;15,2119253
sub-023;likableness_ch;17,4722001
sub-006;likableness_ch;11,9651985
sub-004;likableness_ch;25,8919621
sub-012;affect_co;5,6897205
sub-011;affect_co;0,5604507
sub-010;affect_co;0,2049371
sub-009;affect_co;4,578802
sub-008;affect_co;3,7281346
sub-007;affect_co;7,6676495
sub-006;affect_co;1,2594762
sub-005;affect_co;5,0399468
sub-004;affect_co;7,1865734
sub-003;affect_co;-0,1706747
sub-002;affect_co;6,4820903
sub-001;affect_co;4,3623314
sub-001;likableness_ch;11,2749641
sub-002;likableness_ch;6,9964176
sub-003;likableness_ch;16,4051376
sub-005;likableness_ch;15,2600595
sub-013;affect_co;9,3225662
sub-024;likableness_ch;15,594558
sub-026;likableness_ch;11,755538
sub-017;affect_ch;4,3910047
sub-018;affect_ch;4,9724997
sub-019;affect_ch;4,3962738
sub-020;affect_ch;7,6718279
sub-021;affect_ch;1,9657464
sub-022;affect_ch;7,9192197
sub-023;affect_ch;14,5140819
sub-024;affect_ch;9,3397705
sub-025;affect_ch;12,226592
sub-026;affect_ch;11,9331225
sub-027;affect_ch;19,5188022
sub-028;affect_ch;8,7593052
sub-029;affect_ch;5,1149518
sub-030;affect_ch;7,5405899
sub-030;likableness_ch;8,359423
sub-016;affect_ch;5,8515512
sub-025;likableness_ch;25,8044127
sub-015;affect_ch;9,4607178
sub-013;affect_ch;12,7554301
sub-027;likableness_ch;24,7533779
sub-028;likableness_ch;5,0176001
sub-029;likableness_ch;15,1891923
sub-001;affect_ch;2,7412142
sub-002;affect_ch;5,077012
sub-003;affect_ch;16,259133
sub-004;affect_ch;7,9054652
sub-005;affect_ch;3,8807188
sub-006;affect_ch;7,1932382
sub-007;affect_ch;13,663537
sub-008;affect_ch;11,2456866
sub-009;affect_ch;6,6422723
sub-010;affect_ch;6,7235191
sub-011;affect_ch;10,6050124
sub-012;affect_ch;6,8912021
sub-014;affect_ch;11,9623337
sub-014;affect_co;8,6747651
sub-029;likableness_co;20,1053159
sub-016;affect_co;18,0954125
sub-005;likableness_co;10,0760286
sub-006;likableness_co;1,5144105
sub-007;likableness_co;12,255549
sub-008;likableness_co;7,2849275
sub-009;likableness_co;9,3424214
sub-010;likableness_co;12,1521959
sub-011;likableness_co;12,9658165
sub-012;likableness_co;0,7886011
sub-013;likableness_co;-1,0245519
sub-014;likableness_co;5,0424716
sub-015;likableness_co;3,4302576
sub-016;likableness_co;11,6254887
sub-004;likableness_co;-1,5595962
sub-017;likableness_co;-7,254354
sub-019;likableness_co;-3,7900973
sub-020;likableness_co;-2,0338714
sub-021;likableness_co;20,7817827
sub-022;likableness_co;7,0481872
sub-023;likableness_co;3,5441085
sub-024;likableness_co;13,4044693
sub-025;likableness_co;13,8053393
sub-026;likableness_co;3,6351705
sub-027;likableness_co;5,5708942
sub-028;likableness_co;0,8666951
sub-030;affect_co;0,9054553
sub-015;affect_co;4,8461664
sub-018;likableness_co;-0,0110995
sub-003;likableness_co;14,7489185
sub-002;likableness_co;4,3544895
sub-029;affect_co;0,6619648
sub-001;likableness_co;16,8562034
sub-027;affect_co;7,8374285
sub-026;affect_co;7,9443014
sub-025;affect_co;5,6241108
sub-024;affect_co;6,1195029
sub-017;affect_co;2,547217
sub-023;affect_co;13,7066421
sub-022;affect_co;7,9191899
sub-021;affect_co;1,9085276
sub-020;affect_co;8,2275669
sub-019;affect_co;3,3622415
sub-018;affect_co;4,6776141
sub-028;affect_co;4,5158995