Condescendiente,A,0,0
Cruel,B,10,1
Despiadado,C,0,0
Envidioso/a,D,50,5
Exaltado/a,E,21,2.1
Insensible,F,0,0
Neurotico/a,G,99,9.9
Pesimista,H,91,9.1
Resentido/a,I,30,3
Condescendiente,A,30,3
Cruel,B,0,0
Despiadado,C,0,0
Envidioso/a,D,0,0
Exaltado/a,E,40,4
Insensible,F,0,0
Neurotico/a,G,69,6.9
Pesimista,H,20,2
Resentido/a,I,10,1
Condescendiente,A,15,1.5
Cruel,B,100,10
Despiadado,C,80,8
Envidioso/a,D,100,10
Exaltado/a,E,100,10
Insensible,F,100,10
Neurotico/a,G,40,4
Pesimista,H,100,10
Resentido/a,I,80,8
Condescendiente,A,46,4.6
Cruel,B,37,3.7
Despiadado,C,19,1.9
Envidioso/a,D,66,6.6
Exaltado/a,E,58,5.8
Insensible,F,52,5.2
Neurotico/a,G,32,3.2
Pesimista,H,66,6.6
Resentido/a,I,49,4.9
Condescendiente,A,11,1.1
Cruel,B,9,0.9
Despiadado,C,19,1.9
Envidioso/a,D,50,5
Exaltado/a,E,90,9
Insensible,F,0,0
Neurotico/a,G,81,8.1
Pesimista,H,70,7
Resentido/a,I,81,8.1
Condescendiente,A,8,0.8
Cruel,B,88,8.8
Despiadado,C,89,8.9
Envidioso/a,D,87,8.7
Exaltado/a,E,98,9.8
Insensible,F,17,1.7
Neurotico/a,G,81,8.1
Pesimista,H,49,4.9
Resentido/a,I,75,7.5
Condescendiente,A,66,6.6
Cruel,B,87,8.7
Despiadado,C,83,8.3
Envidioso/a,D,59,5.9
Exaltado/a,E,78,7.8
Insensible,F,52,5.2
Neurotico/a,G,78,7.8
Pesimista,H,61,6.1
Resentido/a,I,71,7.1
Condescendiente,A,64,6.4
Cruel,B,85,8.5
Despiadado,C,75,7.5
Envidioso/a,D,15,1.5
Exaltado/a,E,85,8.5
Insensible,F,68,6.8
Neurotico/a,G,83,8.3
Pesimista,H,58,5.8
Resentido/a,I,67,6.7
Condescendiente,A,10,1
Cruel,B,79,7.9
Despiadado,C,4,0.4
Envidioso/a,D,59,5.9
Exaltado/a,E,91,9.1
Insensible,F,10,1
Neurotico/a,G,60,6
Pesimista,H,70,7
Resentido/a,I,90,9
Condescendiente,A,18,1.8
Cruel,B,80,8
Despiadado,C,12,1.2
Envidioso/a,D,74,7.4
Exaltado/a,E,86,8.6
Insensible,F,15,1.5
Neurotico/a,G,94,9.4
Pesimista,H,79,7.9
Resentido/a,I,80,8
Condescendiente,A,34,3.4
Cruel,B,22,2.2
Despiadado,C,15,1.5
Envidioso/a,D,31,3.1
Exaltado/a,E,62,6.2
Insensible,F,15,1.5
Neurotico/a,G,69,6.9
Pesimista,H,38,3.8
Resentido/a,I,40,4
Condescendiente,A,11,1.1
Cruel,B,50,5
Despiadado,C,30,3
Envidioso/a,D,70,7
Exaltado/a,E,90,9
Insensible,F,20,2
Neurotico/a,G,89,8.9
Pesimista,H,59,5.9
Resentido/a,I,80,8
Condescendiente,A,62,6.2
Cruel,B,31,3.1
Despiadado,C,30,3
Envidioso/a,D,50,5
Exaltado/a,E,12,1.2
Insensible,F,40,4
Neurotico/a,G,50,5
Pesimista,H,90,9
Resentido/a,I,10,1
Condescendiente,A,91,9.1
Cruel,B,75,7.5
Despiadado,C,87,8.7
Envidioso/a,D,100,10
Exaltado/a,E,97,9.7
Insensible,F,87,8.7
Neurotico/a,G,95,9.5
Pesimista,H,62,6.2
Resentido/a,I,85,8.5
Condescendiente,A,100,10
Cruel,B,49,4.9
Despiadado,C,40,4
Envidioso/a,D,30,3
Exaltado/a,E,50,5
Insensible,F,50,5
Neurotico/a,G,70,7
Pesimista,H,100,10
Resentido/a,I,50,5
Condescendiente,A,50,5
Cruel,B,55,5.5
Despiadado,C,74,7.4
Envidioso/a,D,97,9.7
Exaltado/a,E,65,6.5
Insensible,F,74,7.4
Neurotico/a,G,85,8.5
Pesimista,H,76,7.6
Resentido/a,I,84,8.4
Condescendiente,A,20,2
Cruel,B,70,7
Despiadado,C,20,2
Envidioso/a,D,41,4.1
Exaltado/a,E,29,2.9
Insensible,F,19,1.9
Neurotico/a,G,79,7.9
Pesimista,H,50,5
Resentido/a,I,57,5.7
Condescendiente,A,69,6.9
Cruel,B,9,0.9
Despiadado,C,30,3
Envidioso/a,D,40,4
Exaltado/a,E,100,10
Insensible,F,61,6.1
Neurotico/a,G,100,10
Pesimista,H,50,5
Resentido/a,I,80,8
Condescendiente,A,0,0
Cruel,B,0,0
Despiadado,C,10,1
Envidioso/a,D,0,0
Exaltado/a,E,0,0
Insensible,F,0,0
Neurotico/a,G,0,0
Pesimista,H,0,0
Resentido/a,I,70,7
Condescendiente,A,97,9.7
Cruel,B,54,5.4
Despiadado,C,64,6.4
Envidioso/a,D,37,3.7
Exaltado/a,E,84,8.4
Insensible,F,74,7.4
Neurotico/a,G,85,8.5
Pesimista,H,64,6.4
Resentido/a,I,63,6.3
Condescendiente,A,15,1.5
Cruel,B,100,10
Despiadado,C,60,6
Envidioso/a,D,50,5
Exaltado/a,E,65,6.5
Insensible,F,90,9
Neurotico/a,G,80,8
Pesimista,H,80,8
Resentido/a,I,95,9.5
Condescendiente,A,99,9.9
Cruel,B,30,3
Despiadado,C,82,8.2
Envidioso/a,D,90,9
Exaltado/a,E,100,10
Insensible,F,40,4
Neurotico/a,G,100,10
Pesimista,H,100,10
Resentido/a,I,100,10
Condescendiente,A,75,7.5
Cruel,B,80,8
Despiadado,C,91,9.1
Envidioso/a,D,100,10
Exaltado/a,E,100,10
Insensible,F,100,10
Neurotico/a,G,100,10
Pesimista,H,100,10
Resentido/a,I,80,8
Condescendiente,A,43,4.3
Cruel,B,83,8.3
Despiadado,C,88,8.8
Envidioso/a,D,67,6.7
Exaltado/a,E,88,8.8
Insensible,F,18,1.8
Neurotico/a,G,54,5.4
Pesimista,H,84,8.4
Resentido/a,I,59,5.9
Condescendiente,A,75,7.5
Cruel,B,80,8
Despiadado,C,65,6.5
Envidioso/a,D,70,7
Exaltado/a,E,90,9
Insensible,F,80,8
Neurotico/a,G,70,7
Pesimista,H,60,6
Resentido/a,I,80,8
Condescendiente,A,70,7
Cruel,B,85,8.5
Despiadado,C,65,6.5
Envidioso/a,D,100,10
Exaltado/a,E,100,10
Insensible,F,100,10
Neurotico/a,G,100,10
Pesimista,H,80,8
Resentido/a,I,100,10
Condescendiente,A,84,8.4
Cruel,B,97,9.7
Despiadado,C,96,9.6
Envidioso/a,D,96,9.6
Exaltado/a,E,99,9.9
Insensible,F,75,7.5
Neurotico/a,G,100,10
Pesimista,H,65,6.5
Resentido/a,I,90,9
Condescendiente,A,100,10
Cruel,B,100,10
Despiadado,C,90,9
Envidioso/a,D,80,8
Exaltado/a,E,80,8
Insensible,F,100,10
Neurotico/a,G,100,10
Pesimista,H,60,6
Resentido/a,I,0,0
Condescendiente,A,20,2
Cruel,B,0,0
Despiadado,C,50,5
Envidioso/a,D,6,0.6
Exaltado/a,E,80,8
Insensible,F,21,2.1
Neurotico/a,G,9,0.9
Pesimista,H,50,5
Resentido/a,I,39,3.9
Condescendiente,A,65,6.5
Cruel,B,0,0
Despiadado,C,0,0
Envidioso/a,D,81,8.1
Exaltado/a,E,50,5
Insensible,F,27,2.7
Neurotico/a,G,51,5.1
Pesimista,H,74,7.4
Resentido/a,I,34,3.4
