Aburrido/a,A,10,1
Codicioso/a,B,40,4
Egoista,C,25,2.5
Farsante,D,59,5.9
Hostil,E,40,4
Irresponsable,F,30,3
Maleducado/a,G,31,3.1
Prejuicioso/a,H,1,0.1
Vago/a,I,40,4
Aburrido/a,A,30,3
Codicioso/a,B,0,0
Egoista,C,0,0
Farsante,D,0,0
Hostil,E,60,6
Irresponsable,F,9,0.9
Maleducado/a,G,0,0
Prejuicioso/a,H,10,1
Vago/a,I,0,0
Aburrido/a,A,85,8.5
Codicioso/a,B,5,0.5
Egoista,C,26,2.6
Farsante,D,0,0
Hostil,E,65,6.5
Irresponsable,F,0,0
Maleducado/a,G,15,1.5
Prejuicioso/a,H,19,1.9
Vago/a,I,0,0
Aburrido/a,A,33,3.3
Codicioso/a,B,23,2.3
Egoista,C,40,4
Farsante,D,49,4.9
Hostil,E,59,5.9
Irresponsable,F,25,2.5
Maleducado/a,G,60,6
Prejuicioso/a,H,20,2
Vago/a,I,29,2.9
Aburrido/a,A,10,1
Codicioso/a,B,20,2
Egoista,C,20,2
Farsante,D,10,1
Hostil,E,80,8
Irresponsable,F,5,0.5
Maleducado/a,G,50,5
Prejuicioso/a,H,29,2.9
Vago/a,I,11,1.1
Aburrido/a,A,1,0.1
Codicioso/a,B,2,0.2
Egoista,C,72,7.2
Farsante,D,26,2.6
Hostil,E,30,3
Irresponsable,F,29,2.9
Maleducado/a,G,39,3.9
Prejuicioso/a,H,8,0.8
Vago/a,I,19,1.9
Aburrido/a,A,9,0.9
Codicioso/a,B,64,6.4
Egoista,C,57,5.7
Farsante,D,74,7.4
Hostil,E,90,9
Irresponsable,F,64,6.4
Maleducado/a,G,58,5.8
Prejuicioso/a,H,66,6.6
Vago/a,I,37,3.7
Aburrido/a,A,65,6.5
Codicioso/a,B,88,8.8
Egoista,C,76,7.6
Farsante,D,60,6
Hostil,E,80,8
Irresponsable,F,54,5.4
Maleducado/a,G,68,6.8
Prejuicioso/a,H,75,7.5
Vago/a,I,58,5.8
Aburrido/a,A,6,0.6
Codicioso/a,B,5,0.5
Egoista,C,19,1.9
Farsante,D,20,2
Hostil,E,50,5
Irresponsable,F,26,2.6
Maleducado/a,G,2,0.2
Prejuicioso/a,H,34,3.4
Vago/a,I,5,0.5
Aburrido/a,A,69,6.9
Codicioso/a,B,73,7.3
Egoista,C,90,9
Farsante,D,15,1.5
Hostil,E,96,9.6
Irresponsable,F,10,1
Maleducado/a,G,20,2
Prejuicioso/a,H,85,8.5
Vago/a,I,12,1.2
Aburrido/a,A,7,0.7
Codicioso/a,B,16,1.6
Egoista,C,29,2.9
Farsante,D,15,1.5
Hostil,E,70,7
Irresponsable,F,12,1.2
Maleducado/a,G,25,2.5
Prejuicioso/a,H,23,2.3
Vago/a,I,20,2
Aburrido/a,A,5,0.5
Codicioso/a,B,49,4.9
Egoista,C,49,4.9
Farsante,D,75,7.5
Hostil,E,70,7
Irresponsable,F,20,2
Maleducado/a,G,31,3.1
Prejuicioso/a,H,50,5
Vago/a,I,9,0.9
Aburrido/a,A,0,0
Codicioso/a,B,50,5
Egoista,C,50,5
Farsante,D,15,1.5
Hostil,E,31,3.1
Irresponsable,F,41,4.1
Maleducado/a,G,30,3
Prejuicioso/a,H,40,4
Vago/a,I,25,2.5
Aburrido/a,A,50,5
Codicioso/a,B,51,5.1
Egoista,C,31,3.1
Farsante,D,21,2.1
Hostil,E,77,7.7
Irresponsable,F,46,4.6
Maleducado/a,G,58,5.8
Prejuicioso/a,H,35,3.5
Vago/a,I,19,1.9
Aburrido/a,A,90,9
Codicioso/a,B,1,0.1
Egoista,C,70,7
Farsante,D,51,5.1
Hostil,E,80,8
Irresponsable,F,80,8
Maleducado/a,G,20,2
Prejuicioso/a,H,41,4.1
Vago/a,I,40,4
Aburrido/a,A,45,4.5
Codicioso/a,B,14,1.4
Egoista,C,64,6.4
Farsante,D,15,1.5
Hostil,E,63,6.3
Irresponsable,F,76,7.6
Maleducado/a,G,86,8.6
Prejuicioso/a,H,29,2.9
Vago/a,I,14,1.4
Aburrido/a,A,37,3.7
Codicioso/a,B,60,6
Egoista,C,60,6
Farsante,D,43,4.3
Hostil,E,37,3.7
Irresponsable,F,40,4
Maleducado/a,G,21,2.1
Prejuicioso/a,H,10,1
Vago/a,I,22,2.2
Aburrido/a,A,8,0.8
Codicioso/a,B,10,1
Egoista,C,30,3
Farsante,D,38,3.8
Hostil,E,70,7
Irresponsable,F,21,2.1
Maleducado/a,G,6,0.6
Prejuicioso/a,H,31,3.1
Vago/a,I,40,4
Aburrido/a,A,0,0
Codicioso/a,B,0,0
Egoista,C,0,0
Farsante,D,0,0
Hostil,E,0,0
Irresponsable,F,10,1
Maleducado/a,G,0,0
Prejuicioso/a,H,0,0
Vago/a,I,5,0.5
Aburrido/a,A,58,5.8
Codicioso/a,B,44,4.4
Egoista,C,57,5.7
Farsante,D,36,3.6
Hostil,E,75,7.5
Irresponsable,F,31,3.1
Maleducado/a,G,47,4.7
Prejuicioso/a,H,64,6.4
Vago/a,I,44,4.4
Aburrido/a,A,50,5
Codicioso/a,B,5,0.5
Egoista,C,10,1
Farsante,D,10,1
Hostil,E,50,5
Irresponsable,F,5,0.5
Maleducado/a,G,10,1
Prejuicioso/a,H,5,0.5
Vago/a,I,0,0
Aburrido/a,A,80,8
Codicioso/a,B,78,7.8
Egoista,C,81,8.1
Farsante,D,80,8
Hostil,E,90,9
Irresponsable,F,69,6.9
Maleducado/a,G,21,2.1
Prejuicioso/a,H,100,10
Vago/a,I,30,3
Aburrido/a,A,59,5.9
Codicioso/a,B,61,6.1
Egoista,C,69,6.9
Farsante,D,60,6
Hostil,E,49,4.9
Irresponsable,F,9,0.9
Maleducado/a,G,20,2
Prejuicioso/a,H,54,5.4
Vago/a,I,54,5.4
Aburrido/a,A,56,5.6
Codicioso/a,B,49,4.9
Egoista,C,63,6.3
Farsante,D,58,5.8
Hostil,E,57,5.7
Irresponsable,F,63,6.3
Maleducado/a,G,69,6.9
Prejuicioso/a,H,76,7.6
Vago/a,I,36,3.6
Aburrido/a,A,15,1.5
Codicioso/a,B,10,1
Egoista,C,40,4
Farsante,D,40,4
Hostil,E,85,8.5
Irresponsable,F,15,1.5
Maleducado/a,G,15,1.5
Prejuicioso/a,H,55,5.5
Vago/a,I,0,0
Aburrido/a,A,15,1.5
Codicioso/a,B,15,1.5
Egoista,C,25,2.5
Farsante,D,15,1.5
Hostil,E,95,9.5
Irresponsable,F,10,1
Maleducado/a,G,20,2
Prejuicioso/a,H,75,7.5
Vago/a,I,20,2
Aburrido/a,A,8,0.8
Codicioso/a,B,6,0.6
Egoista,C,14,1.4
Farsante,D,100,10
Hostil,E,99,9.9
Irresponsable,F,9,0.9
Maleducado/a,G,0,0
Prejuicioso/a,H,68,6.8
Vago/a,I,2,0.2
Aburrido/a,A,100,10
Codicioso/a,B,80,8
Egoista,C,100,10
Farsante,D,60,6
Hostil,E,100,10
Irresponsable,F,0,0
Maleducado/a,G,80,8
Prejuicioso/a,H,90,9
Vago/a,I,0,0
Aburrido/a,A,17,1.7
Codicioso/a,B,2,0.2
Egoista,C,50,5
Farsante,D,20,2
Hostil,E,15,1.5
Irresponsable,F,21,2.1
Maleducado/a,G,4,0.4
Prejuicioso/a,H,49,4.9
Vago/a,I,60,6
Aburrido/a,A,50,5
Codicioso/a,B,50,5
Egoista,C,71,7.1
Farsante,D,19,1.9
Hostil,E,86,8.6
Irresponsable,F,64,6.4
Maleducado/a,G,54,5.4
Prejuicioso/a,H,30,3
Vago/a,I,30,3
